弥,0x5f25 
弦,0x5f26 
弧,0x5f27 
弩,0x5f29 
弭,0x5f2d 
弱,0x5f31 
張,0x5f35 
強,0x5f37 
弼,0x5f3c 
弾,0x5f3e 
彈,0x5f48 
彊,0x5f4a 
彌,0x5f4c 
彎,0x5f4e 
彑,0x5f51 
当,0x5f53 
彗,0x5f57 
彙,0x5f59 
彡,0x5f61 
形,0x5f62 
彦,0x5f66 
彩,0x5f69 
彫,0x5f6b 
彬,0x5f6c 
彭,0x5f6d 
彰,0x5f70 
影,0x5f71 
彳,0x5f73 
彷,0x5f77 
役,0x5f79 
彼,0x5f7c 
彿,0x5f7f 
往,0x5f80 
征,0x5f81 
徂,0x5f82 
